Date,Open,High,Low,Close,Adj Close,Volume
2024-04-19,58.22999954223633,59.439998626708984,58.22999954223633,59.13999938964844,58.071903228759766,13367600
2024-04-22,59.439998626708984,61.060001373291016,59.20000076293945,60.95000076293945,59.849212646484375,14513100
2024-04-23,61.08000183105469,62.77000045776367,61.02000045776367,62.66999816894531,61.53814697265625,17427800
2024-04-24,62.130001068115234,62.72999954223633,61.84000015258789,62.470001220703125,61.341758728027344,10123000
2024-04-25,61.84000015258789,62.43000030517578,61.099998474121094,61.790000915527344,60.674041748046875,13339100
2024-04-26,61.5099983215332,63.22999954223633,61.5099983215332,62.65999984741211,61.52832794189453,16364100
2024-04-29,62.7400016784668,63.36000061035156,61.959999084472656,62.2599983215332,61.13555145263672,10857100
2024-04-30,61.90999984741211,62.34000015258789,61.290000915527344,61.33000183105469,60.22235107421875,11163400
2024-05-01,61.47999954223633,62.27000045776367,60.880001068115234,61.349998474121094,60.24198913574219,14086600
2024-05-02,62.189998626708984,62.189998626708984,60.97999954223633,61.540000915527344,60.428558349609375,11292500
2024-05-03,61.5099983215332,62.150001525878906,61.40999984741211,61.52000045776367,60.93369674682617,11048900
2024-05-06,62.060001373291016,62.939998626708984,61.720001220703125,62.810001373291016,62.211402893066406,13386700
2024-05-07,62.81999969482422,63.15999984741211,61.970001220703125,62.0,61.409122467041016,10158200
2024-05-08,61.63999938964844,62.95000076293945,61.5099983215332,62.75,62.151973724365234,9755200
2024-05-09,62.380001068115234,63.43000030517578,62.290000915527344,63.31999969482422,62.7165412902832,11563000
2024-05-10,63.58000183105469,63.91999816894531,63.119998931884766,63.529998779296875,62.924537658691406,9548700
2024-05-13,63.619998931884766,63.95000076293945,63.369998931884766,63.400001525878906,62.795780181884766,6617900
2024-05-14,63.5099983215332,63.970001220703125,63.22999954223633,63.59000015258789,62.98396682739258,8322500
2024-05-15,63.630001068115234,64.38999938964844,63.599998474121094,64.23999786376953,63.627769470214844,9461300
2024-05-16,64.0999984741211,64.47000122070312,63.43000030517578,64.13999938964844,63.528724670410156,11682200
2024-05-17,64.37999725341797,64.55000305175781,63.900001525878906,64.06999969482422,63.45939254760742,8418400
2024-05-20,64.06999969482422,64.25,62.91999816894531,63.15999984741211,62.558067321777344,11792100
2024-05-21,63.2599983215332,64.87999725341797,63.20000076293945,64.73999786376953,64.12300872802734,11197200
2024-05-22,64.29000091552734,64.9800033569336,63.63999938964844,63.81999969482422,63.21177673339844,8855300
2024-05-23,63.79999923706055,64.02999877929688,62.5,63.02000045776367,62.41939926147461,11535000
2024-05-24,63.33000183105469,63.970001220703125,63.27000045776367,63.58000183105469,62.974063873291016,9424600
2024-05-28,63.22999954223633,63.56999969482422,62.349998474121094,62.45000076293945,61.85483169555664,8404400
2024-05-29,61.560001373291016,62.18000030517578,61.20000076293945,62.0099983215332,61.41902542114258,7224200
2024-05-30,62.099998474121094,62.47999954223633,61.61000061035156,61.93000030517578,61.33979034423828,10072800
2024-05-31,62.0,62.38999938964844,61.439998626708984,62.310001373291016,61.71616744995117,17351600
2024-06-03,62.91999816894531,63.0,61.31999969482422,61.91999816894531,61.32987976074219,11373900
2024-06-04,61.02000045776367,62.029998779296875,60.7599983215332,61.029998779296875,60.4483642578125,10424200
2024-06-05,61.279998779296875,61.86000061035156,60.93000030517578,61.77000045776367,61.181312561035156,8780700
2024-06-06,61.79999923706055,62.04999923706055,61.25,61.939998626708984,61.349693298339844,8537900
2024-06-07,61.599998474121094,62.59000015258789,61.58000183105469,61.779998779296875,61.19121551513672,8260800
2024-06-10,61.25,61.65999984741211,60.7400016784668,61.43000030517578,60.84455490112305,9302300
2024-06-11,60.77000045776367,60.790000915527344,58.900001525878906,59.13999938964844,58.576377868652344,16966800
2024-06-12,60.90999984741211,61.209999084472656,59.900001525878906,60.0099983215332,59.43808364868164,15398500
2024-06-13,59.75,60.369998931884766,59.150001525878906,60.22999954223633,59.65599060058594,9358200
2024-06-14,59.439998626708984,59.83000183105469,58.65999984741211,59.33000183105469,58.76456832885742,10511000
2024-06-17,59.220001220703125,60.529998779296875,58.849998474121094,60.060001373291016,59.48760986328125,15527500
2024-06-18,60.369998931884766,61.630001068115234,60.09000015258789,60.779998779296875,60.200748443603516,15768100
2024-06-20,60.41999816894531,61.02000045776367,60.349998474121094,60.619998931884766,60.04227066040039,9519200
2024-06-21,60.20000076293945,60.2599983215332,59.34000015258789,59.9900016784668,59.418277740478516,18976900
2024-06-24,60.099998474121094,61.779998779296875,59.84000015258789,61.34000015258789,60.75541305541992,13290500
2024-06-25,61.20000076293945,61.83000183105469,60.86000061035156,61.58000183105469,60.993125915527344,11729100
2024-06-26,61.22999954223633,61.40999984741211,60.560001373291016,61.25,60.66626739501953,12409300
2024-06-27,61.5,61.93000030517578,60.959999084472656,61.54999923706055,60.963409423828125,11285100
2024-06-28,62.029998779296875,63.58000183105469,61.810001373291016,63.459999084472656,62.85520553588867,20053200
2024-07-01,63.650001525878906,64.30000305175781,62.9900016784668,63.43000030517578,62.82549285888672,15334400
2024-07-02,63.290000915527344,64.70999908447266,63.279998779296875,64.68000030517578,64.06358337402344,10965600
2024-07-03,64.68000030517578,65.22000122070312,64.41000366210938,64.45999908447266,63.84567642211914,6574100
2024-07-05,64.5,64.55999755859375,63.75,64.02999877929688,63.41977310180664,7226200
2024-07-08,64.30000305175781,64.87000274658203,64.22000122070312,64.73999786376953,64.12300872802734,10349000
2024-07-09,64.80000305175781,66.76000213623047,64.73999786376953,66.55000305175781,65.91576385498047,16904300
2024-07-10,66.26000213623047,66.98999786376953,66.22000122070312,66.9800033569336,66.34166717529297,9817100
2024-07-11,66.19000244140625,66.5,65.30999755859375,65.70999908447266,65.0837631225586,20112300
2024-07-12,66.61000061035156,66.69000244140625,63.349998474121094,64.5199966430664,63.90510177612305,30125400
2024-07-15,64.68000030517578,65.55000305175781,63.880001068115234,65.13999938964844,64.51919555664062,16656600
2024-07-16,65.0,67.5199966430664,64.69999694824219,67.2699966430664,66.62889099121094,21170200
2024-07-17,66.83999633789062,67.80999755859375,66.62000274658203,67.61000061035156,66.96566009521484,17215300
2024-07-18,67.55000305175781,67.75,64.83999633789062,64.88999938964844,64.27157592773438,15796200
2024-07-19,64.93000030517578,65.9800033569336,64.55000305175781,65.13999938964844,64.51919555664062,8583100
2024-07-22,65.13999938964844,65.6500015258789,64.1500015258789,64.5,63.88529586791992,9925100
2024-07-23,64.51000213623047,65.04000091552734,64.27999877929688,64.66000366210938,64.04377746582031,6961200
2024-07-24,64.4000015258789,64.66999816894531,63.560001373291016,63.65999984741211,63.05329895019531,11591100
2024-07-25,63.810001373291016,65.6500015258789,63.34000015258789,64.37000274658203,63.75653839111328,12819700
2024-07-26,64.55000305175781,65.6500015258789,64.44000244140625,65.18000030517578,64.5588150024414,9661300
2024-07-29,65.30000305175781,65.33999633789062,64.13999938964844,64.30000305175781,63.68720245361328,7901900
2024-07-30,65.01000213623047,66.2300033569336,65.01000213623047,65.87000274658203,65.24224090576172,13554300
2024-07-31,65.91000366210938,66.02999877929688,64.83000183105469,64.87999725341797,64.26167297363281,15046500
2024-08-01,65.08000183105469,65.22000122070312,61.95000076293945,63.279998779296875,62.67692184448242,18052700
2024-08-02,59.66999816894531,60.599998474121094,58.400001525878906,58.7599983215332,58.19999694824219,30289300
2024-08-05,54.08000183105469,56.900001525878906,53.5099983215332,56.209999084472656,56.209999084472656,27977300
2024-08-06,56.38999938964844,57.65999984741211,56.09000015258789,56.560001373291016,56.560001373291016,16643100
2024-08-07,58.16999816894531,58.45000076293945,55.869998931884766,56.11000061035156,56.11000061035156,19221200
2024-08-08,56.849998474121094,58.36000061035156,56.810001373291016,58.0,58.0,17933300
2024-08-09,58.029998779296875,58.459999084472656,57.45000076293945,57.84000015258789,57.84000015258789,11421000
2024-08-12,58.29999923706055,58.68000030517578,57.72999954223633,57.84000015258789,57.84000015258789,15123500
2024-08-13,58.22999954223633,58.290000915527344,57.77000045776367,58.150001525878906,58.150001525878906,7478500
2024-08-14,58.369998931884766,59.529998779296875,58.279998779296875,59.279998779296875,59.279998779296875,12419500
2024-08-15,60.34000015258789,61.0099983215332,60.099998474121094,60.52000045776367,60.52000045776367,14159000
2024-08-16,60.33000183105469,61.52000045776367,60.33000183105469,61.400001525878906,61.400001525878906,9939700
2024-08-19,61.5,62.04999923706055,61.349998474121094,62.029998779296875,62.029998779296875,8882500
2024-08-20,61.59000015258789,61.70000076293945,61.09000015258789,61.310001373291016,61.310001373291016,8661300
2024-08-21,61.400001525878906,61.45000076293945,59.880001068115234,60.529998779296875,60.529998779296875,14414900
2024-08-22,60.75,60.75,60.11000061035156,60.41999816894531,60.41999816894531,7848500
2024-08-23,60.869998931884766,62.459999084472656,60.7400016784668,62.13999938964844,62.13999938964844,13299700
2024-08-26,62.36000061035156,62.599998474121094,61.56999969482422,61.790000915527344,61.790000915527344,9384200
2024-08-27,61.90999984741211,62.18000030517578,61.459999084472656,61.68000030517578,61.68000030517578,7294800
2024-08-28,61.349998474121094,61.9900016784668,61.150001525878906,61.58000183105469,61.58000183105469,7692900
2024-08-29,62.0099983215332,62.220001220703125,61.16999816894531,61.880001068115234,61.880001068115234,8368000
2024-08-30,61.95000076293945,62.70000076293945,61.65999984741211,62.63999938964844,62.63999938964844,10806500
2024-09-03,62.040000915527344,62.38999938964844,60.970001220703125,61.459999084472656,61.459999084472656,11055200
2024-09-04,61.56999969482422,62.06999969482422,60.40999984741211,60.959999084472656,60.959999084472656,11436800
2024-09-05,61.61000061035156,61.790000915527344,60.34000015258789,60.630001068115234,60.630001068115234,10243900
2024-09-06,60.70000076293945,61.08000183105469,58.79999923706055,59.09000015258789,59.09000015258789,14094000
2024-09-09,59.90999984741211,60.66999816894531,58.16999816894531,59.540000915527344,59.540000915527344,19811700
2024-09-10,59.88999938964844,59.88999938964844,56.689998626708984,57.95000076293945,57.95000076293945,22482300
2024-09-11,57.59000015258789,57.59000015258789,56.18000030517578,57.29999923706055,57.29999923706055,16569400
2024-09-12,57.369998931884766,57.86000061035156,56.83000183105469,57.33000183105469,57.33000183105469,12944600
2024-09-13,57.709999084472656,58.279998779296875,57.43000030517578,57.66999816894531,57.66999816894531,10379400
2024-09-16,57.93000030517578,58.790000915527344,57.93000030517578,58.38999938964844,58.38999938964844,9912700
2024-09-17,58.86000061035156,59.40999984741211,58.7599983215332,59.290000915527344,59.290000915527344,10630400
2024-09-18,59.75,60.880001068115234,59.290000915527344,59.900001525878906,59.900001525878906,13638700
2024-09-19,60.91999816894531,63.16999816894531,60.599998474121094,63.02000045776367,63.02000045776367,21860600
2024-09-20,62.52000045776367,62.650001525878906,61.68000030517578,62.13999938964844,62.13999938964844,18331800
2024-09-23,62.220001220703125,62.869998931884766,62.16999816894531,62.58000183105469,62.58000183105469,11508200
2024-09-24,62.68000030517578,62.900001525878906,61.119998931884766,61.369998931884766,61.369998931884766,12046200
2024-09-25,61.119998931884766,61.290000915527344,60.11000061035156,60.380001068115234,60.380001068115234,12763800
2024-09-26,61.04999923706055,62.0,60.86000061035156,61.709999084472656,61.709999084472656,12844500
2024-09-27,62.0099983215332,62.61000061035156,61.790000915527344,61.869998931884766,61.869998931884766,8144600
2024-09-30,61.68000030517578,62.63999938964844,61.2400016784668,62.599998474121094,62.599998474121094,11316400
2024-10-01,62.220001220703125,62.349998474121094,61.0099983215332,61.810001373291016,61.810001373291016,13550100
2024-10-02,61.70000076293945,62.529998779296875,61.310001373291016,62.029998779296875,62.029998779296875,7380800
2024-10-03,61.5,61.65999984741211,60.93000030517578,61.310001373291016,61.310001373291016,7939800
2024-10-04,62.470001220703125,62.93000030517578,61.810001373291016,62.63999938964844,62.63999938964844,10097900
2024-10-07,62.4900016784668,63.029998779296875,62.06999969482422,62.599998474121094,62.599998474121094,6954300
2024-10-08,62.900001525878906,63.36000061035156,62.4900016784668,63.2400016784668,63.2400016784668,8245700
2024-10-09,63.16999816894531,64.25,63.040000915527344,64.12000274658203,64.12000274658203,8636400
2024-10-10,64.0,64.11000061035156,63.11000061035156,63.47999954223633,63.47999954223633,8708600
2024-10-11,64.12000274658203,66.0999984741211,64.0999984741211,65.73999786376953,65.73999786376953,15512400
2024-10-14,65.80999755859375,66.43000030517578,65.6500015258789,66.01000213623047,66.01000213623047,14682900
2024-10-15,66.75,67.16000366210938,62.529998779296875,62.63999938964844,62.63999938964844,35348100
2024-10-16,63.439998626708984,64.44000244140625,63.400001525878906,64.25,64.25,20208800
2024-10-17,64.7300033569336,65.16999816894531,63.77000045776367,63.970001220703125,63.970001220703125,13439600
2024-10-18,64.12000274658203,64.12000274658203,62.72999954223633,62.849998474121094,62.849998474121094,13841200
2024-10-21,62.790000915527344,62.90999984741211,61.72999954223633,61.83000183105469,61.83000183105469,12188500
2024-10-22,61.59000015258789,63.689998626708984,61.29999923706055,63.560001373291016,63.560001373291016,14347300
2024-10-23,63.18000030517578,63.630001068115234,62.619998931884766,63.099998474121094,63.099998474121094,8720500
2024-10-24,63.0099983215332,63.29999923706055,62.38999938964844,63.0,63.0,11420300
2024-10-25,63.650001525878906,63.7400016784668,61.689998626708984,61.7599983215332,61.7599983215332,9697800
2024-10-28,62.349998474121094,64.3499984741211,62.220001220703125,64.16000366210938,64.16000366210938,14636300
